Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US
8.19,127,103,0,125,155,Good,29,15,No,Yes
5.3,113,22,0,57,97,Medium,65,16,No,No
10.62,116,79,19,359,116,Good,58,17,Yes,Yes
5.08,128,46,6,497,138,Medium,42,13,Yes,No
10.07,130,100,11,449,107,Medium,64,10,Yes,Yes
6.67,156,42,13,170,173,Good,74,14,Yes,Yes
5.86,136,70,12,171,152,Medium,44,18,Yes,Yes
8.77,144,63,11,27,117,Medium,47,17,Yes,Yes
4.83,115,115,3,48,107,Medium,73,18,Yes,Yes
8.85,127,92,0,508,91,Medium,56,18,Yes,No
7.82,124,25,13,87,110,Medium,57,10,Yes,Yes
5.99,117,42,10,371,121,Bad,26,14,Yes,Yes
3.47,107,79,2,488,103,Bad,65,16,Yes,No
6.89,129,69,10,289,110,Medium,50,16,No,Yes
12.66,148,76,3,126,99,Good,60,11,Yes,Yes
8.67,125,62,14,477,112,Medium,80,13,Yes,Yes
4.43,134,48,1,139,145,Medium,65,12,Yes,Yes
5.17,131,75,0,10,120,Bad,31,18,No,No
6.52,128,42,0,436,118,Medium,80,11,Yes,No
7.77,116,26,6,434,115,Medium,25,17,Yes,Yes
2.05,131,82,0,132,157,Bad,25,14,Yes,No
5.01,159,69,0,438,166,Medium,46,17,Yes,No
5.81,125,111,0,404,107,Bad,54,15,Yes,No
7.74,150,96,0,80,154,Good,61,11,Yes,No
10.21,121,58,8,249,90,Medium,48,13,No,Yes
7.8,100,67,12,184,104,Medium,32,16,No,Yes
6.98,116,40,0,74,97,Medium,76,15,No,No
3.15,117,66,1,65,111,Bad,55,11,Yes,Yes
8.74,155,80,0,237,124,Medium,37,14,Yes,No
5.07,123,91,0,334,96,Bad,78,17,Yes,Yes
4.94,137,112,15,434,149,Bad,66,13,Yes,Yes
7.81,137,102,13,422,118,Medium,71,10,No,Yes
4.96,133,100,3,350,126,Bad,55,13,Yes,Yes
8.64,111,101,17,266,91,Medium,63,17,No,Yes
9.58,108,104,23,353,129,Good,37,17,Yes,Yes
2.66,136,65,4,133,150,Bad,53,13,Yes,Yes
4.9,122,26,0,197,128,Medium,55,13,No,No
5.4,149,73,13,381,163,Bad,26,11,No,Yes
4.17,123,96,10,71,118,Bad,69,11,Yes,Yes
4.38,126,98,0,173,108,Bad,55,16,Yes,No
7.37,130,94,8,137,128,Medium,64,12,Yes,Yes
9.53,175,65,29,419,166,Medium,53,12,Yes,Yes
7.22,114,113,2,129,151,Good,40,15,No,Yes
4.21,118,35,14,502,137,Medium,79,10,No,Yes
6.1,153,63,0,49,124,Bad,56,16,Yes,No
0,139,24,0,358,185,Medium,79,15,No,No
6.93,135,69,14,296,130,Medium,73,15,Yes,Yes
6.8,137,117,5,337,135,Bad,38,10,Yes,Yes
12.61,118,90,10,54,104,Good,31,11,No,Yes
8.55,134,107,0,104,108,Medium,60,12,Yes,No
8.54,139,35,0,95,129,Medium,42,13,Yes,No
7.99,127,59,0,339,99,Medium,65,12,Yes,No
11.62,151,83,4,325,139,Good,28,17,Yes,Yes
5.58,134,25,10,237,148,Medium,59,13,Yes,Yes
9.08,152,81,0,191,126,Medium,54,16,Yes,No
11.7,131,67,7,272,126,Good,54,16,No,Yes
10.43,77,69,0,25,24,Medium,50,18,Yes,No
9.35,98,117,0,76,68,Medium,63,10,Yes,No
4.81,121,68,0,279,149,Good,79,12,Yes,No
5.52,115,45,0,432,116,Medium,25,15,Yes,No
7.9,132,46,4,206,124,Medium,73,11,Yes,No
7.41,162,26,12,368,159,Medium,40,18,Yes,Yes
10.5,122,21,16,488,131,Good,30,14,Yes,Yes
8.69,113,64,10,68,101,Medium,57,16,Yes,Yes
11.48,121,120,13,140,87,Medium,56,11,Yes,Yes
3.13,130,62,11,396,130,Bad,66,14,Yes,Yes
7.64,128,78,0,341,128,Good,45,13,No,No
7.56,110,119,0,384,97,Medium,72,14,No,Yes
7.52,116,72,0,237,128,Good,70,13,Yes,No
11.19,98,104,0,404,72,Medium,27,18,No,No
4.95,121,28,19,315,121,Medium,66,14,Yes,Yes
5.98,124,56,11,447,134,Medium,53,12,No,Yes
6.03,117,32,0,142,96,Bad,62,17,Yes,No
15.63,122,36,5,369,72,Good,35,10,Yes,Yes
2.34,116,83,15,170,144,Bad,71,11,Yes,Yes
6.81,132,61,0,263,125,Medium,41,12,No,No
7.8,136,48,12,326,125,Medium,36,16,Yes,Yes
9.16,137,105,10,435,156,Good,72,14,Yes,Yes
6.53,123,57,0,66,105,Medium,39,11,Yes,No
7.81,104,99,15,226,102,Bad,58,17,Yes,Yes
10.51,140,54,9,402,119,Good,41,16,No,Yes
5.35,130,58,19,366,139,Bad,33,16,Yes,Yes
11.82,113,66,16,322,74,Good,76,15,Yes,Yes
6.15,146,68,12,328,132,Bad,51,14,Yes,Yes
11.96,117,94,4,503,94,Good,50,13,Yes,Yes
4.74,137,60,4,230,140,Bad,25,13,Yes,No
5.16,115,60,0,119,114,Bad,38,14,No,No
7.7,118,71,12,44,89,Medium,67,18,No,Yes
8.86,145,30,0,67,104,Medium,55,17,Yes,No
5.25,131,55,0,26,110,Bad,79,12,Yes,Yes
11.19,122,69,7,303,105,Good,45,16,No,Yes
9.44,131,47,7,90,118,Medium,47,12,Yes,Yes
9,128,62,7,125,116,Medium,43,14,Yes,Yes
3.9,124,65,21,496,151,Bad,77,13,Yes,Yes
10.36,107,105,18,428,103,Medium,34,12,Yes,Yes
7.57,112,88,2,243,99,Medium,62,11,Yes,Yes
11.54,134,44,4,219,126,Good,44,15,Yes,Yes
4.95,121,41,5,412,110,Medium,54,10,Yes,Yes
4.69,132,113,0,131,124,Medium,76,17,No,Yes
13.14,137,80,10,24,105,Good,61,15,Yes,Yes
